"filename", "language", "CSS", "XML", "Markdown", "PHP", "JSON", "JavaScript", "SQL", "comment", "blank", "total"
"c:\xampp\htdocs\Ivenontory-managment-system\README.md", "Markdown", 0, 0, 10, 0, 0, 0, 0, 0, 1, 11
"c:\xampp\htdocs\Ivenontory-managment-system\client\categories_dropdown.php", "PHP", 0, 0, 0, 195, 0, 0, 0, 1, 19, 215
"c:\xampp\htdocs\Ivenontory-managment-system\client\functions.php", "PHP", 0, 0, 0, 25, 0, 0, 0, 0, 6, 31
"c:\xampp\htdocs\Ivenontory-managment-system\client\logOut.php", "PHP", 0, 0, 0, 7, 0, 0, 0, 0, 2, 9
"c:\xampp\htdocs\Ivenontory-managment-system\client\pop_ups.php", "PHP", 0, 0, 0, 446, 0, 0, 0, 3, 61, 510
"c:\xampp\htdocs\Ivenontory-managment-system\client\registration.php", "PHP", 0, 0, 0, 28, 0, 0, 0, 0, 6, 34
"c:\xampp\htdocs\Ivenontory-managment-system\client\search.php", "PHP", 0, 0, 0, 16, 0, 0, 0, 0, 1, 17
"c:\xampp\htdocs\Ivenontory-managment-system\client\shopping_cart.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\xampp\htdocs\Ivenontory-managment-system\client\shopping_cart.php", "PHP", 0, 0, 0, 50, 0, 0, 0, 0, 4, 54
"c:\xampp\htdocs\Ivenontory-managment-system\client\user_login.php", "PHP", 0, 0, 0, 37, 0, 0, 0, 0, 3, 40
"c:\xampp\htdocs\Ivenontory-managment-system\client\user_register.php", "PHP", 0, 0, 0, 39, 0, 0, 0, 0, 3, 42
"c:\xampp\htdocs\Ivenontory-managment-system\client\validation.php", "PHP", 0, 0, 0, 30, 0, 0, 0, 0, 9, 39
"c:\xampp\htdocs\Ivenontory-managment-system\db\connection.php", "PHP", 0, 0, 0, 9, 0, 0, 0, 0, 3, 12
"c:\xampp\htdocs\Ivenontory-managment-system\db\database_tables.sql", "SQL", 0, 0, 0, 0, 0, 0, 50, 0, 6, 56
"c:\xampp\htdocs\Ivenontory-managment-system\js\PaymentCard.js", "JavaScript", 0, 0, 0, 0, 0, 248, 0, 14, 48, 310
"c:\xampp\htdocs\Ivenontory-managment-system\js\addToCart.js", "JavaScript", 0, 0, 0, 0, 0, 292, 0, 10, 20, 322
"c:\xampp\htdocs\Ivenontory-managment-system\js\app.js", "JavaScript", 0, 0, 0, 0, 0, 44, 0, 7, 10, 61
"c:\xampp\htdocs\Ivenontory-managment-system\js\change_content.js", "JavaScript", 0, 0, 0, 0, 0, 193, 0, 114, 17, 324
"c:\xampp\htdocs\Ivenontory-managment-system\js\charts.php", "PHP", 0, 0, 0, 230, 0, 0, 0, 20, 24, 274
"c:\xampp\htdocs\Ivenontory-managment-system\js\content.php", "PHP", 0, 0, 0, 457, 0, 0, 0, 142, 30, 629
"c:\xampp\htdocs\Ivenontory-managment-system\js\sweetalert.js", "JavaScript", 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\xampp\htdocs\Ivenontory-managment-system\js\tableHTMLExport.js", "JavaScript", 0, 0, 0, 0, 0, 124, 0, 37, 53, 214
"c:\xampp\htdocs\Ivenontory-managment-system\package-lock.json", "JSON", 0, 0, 0, 0, 302, 0, 0, 0, 1, 303
"c:\xampp\htdocs\Ivenontory-managment-system\package.json", "JSON", 0, 0, 0, 0, 10, 0, 0, 0, 1, 11
"c:\xampp\htdocs\Ivenontory-managment-system\pages\admin.php", "PHP", 0, 0, 0, 416, 0, 0, 0, 16, 63, 495
"c:\xampp\htdocs\Ivenontory-managment-system\pages\categories.php", "PHP", 0, 0, 0, 59, 0, 0, 0, 0, 3, 62
"c:\xampp\htdocs\Ivenontory-managment-system\pages\contact.php", "PHP", 0, 0, 0, 185, 0, 0, 0, 1, 17, 203
